pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate,NE_dum,MW_dum,W_dum,S_dum,white_only_total,black_only_total,amer_indian_alaskanative_only_total,asian_only_total,pacisland_only_total,other_only_total,two_or_more_races_total,not_hislat_total,hislat_total,total_pop,whiteonly_pct,blackonly_pct,indianonly_pct,asianonly_pct,pacislandonly_pct,otheronly_pct,twoplusonly_pct,hislatonly_pct
0,Arlington,Virginia,62018.0,103208.0,139244.0,214861.0,94454.0,0.06784266339248965,0,0,0,1,165609.0,20777.0,870.0,23992.0,260.0,11833.0,8462.0,195623.0,36180.0,231803.0,0.7144385534268323,0.08963214453652454,0.003753186973421397,0.10350168030612202,0.0011216420840109921,0.05104765684654642,0.03650513582654236,0.15608080999814497
1,Marin,California,56791.0,90839.0,117357.0,254643.0,102912.0,0.08751703241726827,0,0,1,0,203342.0,5709.0,737.0,15000.0,584.0,22262.0,12661.0,218960.0,41335.0,260295.0,0.7811982558251215,0.02193280700743387,0.0028314028314028314,0.05762692329856509,0.0022436082137574677,0.08552603776484373,0.04864096505887551,0.15880059163641252
2,Pitkin,Colorado,51814.0,72745.0,93981.0,17173.0,7507.0,0.022957370480067126,0,0,1,0,16316.0,297.0,22.0,270.0,0.0,749.0,255.0,16132.0,1777.0,17909.0,0.9110503099000502,0.016583840527109275,0.0012284326316377241,0.015076218661008431,0.0,0.04182254732257524,0.014238650957619075,0.09922385392819252
3,Los Alamos,New Mexico,51044.0,106686.0,124979.0,17979.0,7590.0,0.032178966587902334,0,0,1,0,15686.0,36.0,201.0,996.0,0.0,567.0,870.0,15120.0,3236.0,18356.0,0.8545434735236435,0.0019612115929396384,0.010950098060579647,0.054260187404663325,0.0,0.030889082588799303,0.04739594682937459,0.17629113096535193
4,Fairfax,Virginia,50532.0,110292.0,128596.0,1101071.0,389908.0,0.10081176745197548,0,0,0,1,708761.0,111026.0,2507.0,217066.0,838.0,50267.0,53064.0,957978.0,185551.0,1143529.0,0.6198015091877862,0.09709067282071553,0.0021923361803679662,0.18982115888621975,0.0007328191939163765,0.043957783318131854,0.04640372041286229,0.16226173538231212
5,Hunterdon,New Jersey,50349.0,106143.0,125828.0,127047.0,46816.0,0.055325404324664026,1,0,0,0,113719.0,3369.0,63.0,4934.0,41.0,1277.0,1648.0,117109.0,7942.0,125051.0,0.9093809725631942,0.02694100806870797,0.0005037944518636396,0.03945590199198727,0.0003278662305779242,0.010211833571902664,0.01317862312176632,0.06351008788414327
6,Borden,Texas,50042.0,71607.0,76250.0,649.0,225.0,0.0729023652303455,0,0,0,1,651.0,0.0,0.0,0.0,0.0,0.0,14.0,609.0,56.0,665.0,0.9789473684210527,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.08421052631578947
7,Montgomery,Maryland,49038.0,98221.0,117408.0,989474.0,360563.0,0.09737932669017353,0,0,0,1,559927.0,189800.0,3068.0,152812.0,502.0,89343.0,44681.0,839826.0,200307.0,1040133.0,0.5383225029875987,0.18247666404200233,0.002949622788624147,0.14691582711057144,0.00048263058666535915,0.08589574602478721,0.04295700645975082,0.19257825681907986
8,Morris,New Jersey,48814.0,98633.0,117683.0,495261.0,179665.0,0.07526914911456092,1,0,0,0,403998.0,16605.0,684.0,50403.0,109.0,12759.0,9825.0,429618.0,64765.0,494383.0,0.8171761569471442,0.03358731995234464,0.0013835427189041695,0.10195132114170592,0.00022047683678443636,0.025807926243418565,0.01987325615969805,0.13100167279214697
9,Fairfield,Connecticut,48721.0,82283.0,104250.0,926233.0,332655.0,0.0912297174221034,1,0,0,0,691642.0,107215.0,2338.0,49927.0,487.0,65132.0,27607.0,761695.0,182653.0,944348.0,0.7324016146590028,0.11353335846531151,0.0024757822328209515,0.05286928123954305,0.0005156997208656131,0.06897033720619941,0.029233926476256635,0.19341704541122554
10,San Francisco,California,48486.0,75604.0,90116.0,817501.0,345344.0,0.08154416044028953,0,0,1,0,406538.0,45402.0,2746.0,297667.0,2911.0,67424.0,47356.0,737393.0,132651.0,870044.0,0.46726142585892205,0.05218356772760918,0.0031561622170832738,0.342128673952122,0.003345807798226297,0.07749493129083126,0.054429431155205946,0.15246470293456424
11,Howard,Maryland,48172.0,109865.0,128657.0,293821.0,106142.0,0.07480888922515598,0,0,0,1,182836.0,58856.0,715.0,55913.0,58.0,3913.0,13036.0,294127.0,21200.0,315327.0,0.5798298274489657,0.18665068325896608,0.0022674874019668473,0.17731751483380745,0.00018393604099870928,0.012409340145309472,0.04134121086998576,0.06723179429607994
12,Westchester,New York,47984.0,81946.0,105341.0,956283.0,343561.0,0.07426748061996068,1,0,0,0,630592.0,142443.0,4059.0,57410.0,262.0,104252.0,29797.0,733572.0,235243.0,968815.0,0.650890004799678,0.14702807037463292,0.004189654371577649,0.05925795946594551,0.00027043346768990985,0.10760774760919267,0.030756129911283372,0.24281519175487581
13,Somerset,New Jersey,47803.0,99020.0,117393.0,326207.0,115531.0,0.05906395596359355,1,0,0,0,222500.0,31853.0,778.0,57302.0,23.0,10472.0,7248.0,282447.0,47729.0,330176.0,0.6738830199651095,0.09647279026943206,0.002356319054080248,0.1735498643147897,6.965981779414615e-05,0.03171641791044776,0.02195192866834658,0.14455623667377399
14,Nantucket,Massachusetts,47331.0,85478.0,92500.0,10224.0,4069.0,0.03793776184029249,1,0,0,0,9722.0,776.0,35.0,107.0,7.0,62.0,392.0,10596.0,505.0,11101.0,0.8757769570308981,0.06990361228718134,0.0031528691108909106,0.009638771281866498,0.0006305738221781821,0.005585082425006756,0.0353121340419782,0.045491397171425994
15,Loudoun,Virginia,46565.0,122238.0,133550.0,326477.0,106997.0,0.08514859663395488,0,0,0,1,254787.0,28735.0,996.0,69222.0,361.0,11895.0,19147.0,333024.0,52119.0,385143.0,0.6615387012096806,0.07460865185139026,0.002586052453244639,0.1797306455005024,0.0009373141923908781,0.03088463246118974,0.04971400233160151,0.13532376286210576
16,San Mateo,California,45732.0,88202.0,105844.0,729543.0,257941.0,0.07526827315950124,0,0,1,0,391024.0,17849.0,2922.0,215337.0,10504.0,85574.0,42725.0,576933.0,189002.0,765935.0,0.5105185165843055,0.023303544034415452,0.003814945132419853,0.28114265570838254,0.013713957450697513,0.11172488527094336,0.055781495818835805,0.24675984254538572
17,Goochland,Virginia,45039.0,80976.0,92042.0,21565.0,8058.0,0.05968840909157048,0,0,0,1,17970.0,3605.0,27.0,292.0,0.0,113.0,475.0,21871.0,611.0,22482.0,0.7993061115559114,0.16035050262432168,0.0012009607686148918,0.01298816831242772,0.0,0.005026243216795658,0.021128013521928654,0.027177297393470332
18,Norfolk,Massachusetts,44692.0,84916.0,108943.0,677296.0,257451.0,0.10059209785522244,1,0,0,0,547590.0,47581.0,880.0,75060.0,248.0,10544.0,16346.0,667886.0,30363.0,698249.0,0.7842331317338084,0.06814331277237776,0.001260295396054989,0.10749746866805394,0.00035517415707004234,0.015100630290913413,0.02340998698172142,0.04348448762547458
19,Douglas,Colorado,43634.0,101591.0,112930.0,293014.0,103780.0,0.07161788701484148,0,0,1,0,293266.0,4460.0,1075.0,14700.0,257.0,4823.0,10033.0,300616.0,27998.0,328614.0,0.8924330673677933,0.013572154564321667,0.003271315281759146,0.044733334550566925,0.0007820725836391632,0.014676794050162196,0.030531261601757686,0.08520026535692332
20,Teton,Wyoming,43444.0,68078.0,83558.0,21575.0,7583.0,0.05969464112165681,0,0,1,0,20832.0,274.0,77.0,282.0,35.0,1375.0,184.0,19626.0,3433.0,23059.0,0.9034216574873152,0.011882562123249056,0.003339260158723275,0.012229498243635891,0.0015178455266923977,0.05962964569148706,0.007979530768897177,0.14887896266100004
21,Bergen,New Jersey,43347.0,83794.0,102222.0,912795.0,335422.0,0.09473287137953802,1,0,0,0,663672.0,55497.0,1695.0,150137.0,336.0,35708.0,22954.0,749470.0,180529.0,929999.0,0.7136265737920149,0.05967425771425561,0.0018225826049275322,0.161437807997643,0.0003612907110652807,0.038395740210473345,0.0246817469696204,0.19411741302947638
22,Middlesex,Massachusetts,42861.0,82090.0,104032.0,1522533.0,581120.0,0.09297359240244817,1,0,0,0,1233271.0,84021.0,2958.0,186123.0,603.0,42335.0,45881.0,1469659.0,125533.0,1595192.0,0.7731175933680711,0.05267140256470695,0.00185432223832617,0.1166774908600344,0.0003780109228230834,0.026539125070837867,0.028762054975200478,0.07869460227985095
23,Monmouth,New Jersey,42749.0,84526.0,105971.0,629735.0,233909.0,0.08221406118769413,1,0,0,0,513711.0,43959.0,1000.0,33772.0,271.0,17875.0,12799.0,556859.0,66528.0,623387.0,0.8240643452622528,0.0705163886959465,0.0016041399644201755,0.05417501487839817,0.00043472193035786757,0.02867400186401064,0.020531387404613827,0.10672022355294544
24,Summit,Utah,42462.0,83336.0,95879.0,37232.0,13627.0,0.04007119788744943,0,0,1,0,38064.0,304.0,101.0,667.0,10.0,550.0,815.0,35849.0,4662.0,40511.0,0.9395966527609785,0.007504134679469774,0.002493150008639629,0.016464663918441903,0.0002468465355088741,0.013576559452988078,0.02011799264397324,0.11507985485423712
25,Nassau,New York,42400.0,97690.0,112874.0,1343765.0,441955.0,0.09302024488618922,1,0,0,0,930446.0,158708.0,3583.0,125767.0,351.0,96581.0,41128.0,1130983.0,225581.0,1356564.0,0.6858843371930848,0.11699263728065908,0.0026412318180343867,0.09270996429213808,0.0002587419391934328,0.07119531404342147,0.030317773433468677,0.1662885053709224
26,Mineral,Colorado,42255.0,47083.0,68438.0,761.0,393.0,0.023159067574399908,0,0,1,0,728.0,18.0,9.0,5.0,0.0,44.0,19.0,744.0,79.0,823.0,0.8845686512758202,0.02187120291616039,0.010935601458080195,0.006075334143377886,0.0,0.053462940461725394,0.023086269744835967,0.0959902794653706
27,Chester,Pennsylvania,42210.0,86050.0,105278.0,503075.0,184788.0,0.08791035867305974,1,0,0,0,441326.0,30706.0,557.0,26777.0,120.0,6601.0,11069.0,479298.0,37858.0,517156.0,0.8533711297944914,0.0593747341227792,0.0010770444508040127,0.05177741339170386,0.0002320383017890153,0.01276404025091075,0.021403599687521754,0.07320421690940451
28,Ozaukee,Wisconsin,42041.0,75457.0,92262.0,86708.0,34108.0,0.03312421239533103,0,1,0,0,82714.0,1200.0,237.0,1970.0,67.0,580.0,1516.0,85758.0,2526.0,88284.0,0.9369081600289973,0.013592496941688188,0.002684518145983417,0.02231434914593811,0.0007589144125775905,0.006569706855149291,0.017171854469666077,0.028612206062253637
29,Clear Creek,Colorado,41716.0,67259.0,89583.0,9048.0,4024.0,0.04126778220218958,0,0,1,0,8880.0,103.0,30.0,98.0,7.0,4.0,257.0,8761.0,618.0,9379.0,0.9467960336922913,0.010981981021430855,0.0031986352489604434,0.010448875146604116,0.0007463482247574368,0.00042648469986139245,0.027401641966094466,0.06589188612858514
30,Santa Clara,California,41513.0,91702.0,103983.0,1812208.0,609377.0,0.0992668270362474,0,0,1,0,865460.0,48058.0,9303.0,689176.0,7541.0,205997.0,96665.0,1426745.0,495455.0,1922200.0,0.45024451149724276,0.02500156071168453,0.0048397669337217775,0.35853501196545623,0.00392310893767558,0.10716730829258142,0.050288731661637706,0.257754135885964
