pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
2,Arlington,Virginia,62018.0,103208.0,139244.0,214861.0,94454.0,0.06784266339248965
4,Marin,California,56791.0,90839.0,117357.0,254643.0,102912.0,0.08751703241726827
6,Pitkin,Colorado,51814.0,72745.0,93981.0,17173.0,7507.0,0.022957370480067123
7,Los Alamos,New Mexico,51044.0,106686.0,124979.0,17979.0,7590.0,0.032178966587902334
8,Fairfax,Virginia,50532.0,110292.0,128596.0,1101071.0,389908.0,0.10081176745197547
9,Hunterdon,New Jersey,50349.0,106143.0,125828.0,127047.0,46816.0,0.055325404324664026
10,Borden,Texas,50042.0,71607.0,76250.0,649.0,225.0,0.0729023652303455
11,Montgomery,Maryland,49038.0,98221.0,117408.0,989474.0,360563.0,0.09737932669017353
12,Morris,New Jersey,48814.0,98633.0,117683.0,495261.0,179665.0,0.07526914911456092
13,Fairfield,Connecticut,48721.0,82283.0,104250.0,926233.0,332655.0,0.0912297174221034
14,San Francisco,California,48486.0,75604.0,90116.0,817501.0,345344.0,0.08154416044028952
15,Howard,Maryland,48172.0,109865.0,128657.0,293821.0,106142.0,0.07480888922515598
16,Westchester,New York,47984.0,81946.0,105341.0,956283.0,343561.0,0.07426748061996068
17,Somerset,New Jersey,47803.0,99020.0,117393.0,326207.0,115531.0,0.059063955963593553
18,Nantucket,Massachusetts,47331.0,85478.0,92500.0,10224.0,4069.0,0.03793776184029249
19,Loudoun,Virginia,46565.0,122238.0,133550.0,326477.0,106997.0,0.08514859663395487
21,San Mateo,California,45732.0,88202.0,105844.0,729543.0,257941.0,0.07526827315950124
24,Goochland,Virginia,45039.0,80976.0,92042.0,21565.0,8058.0,0.05968840909157047
25,Norfolk,Massachusetts,44692.0,84916.0,108943.0,677296.0,257451.0,0.10059209785522245
27,Douglas,Colorado,43634.0,101591.0,112930.0,293014.0,103780.0,0.07161788701484147
28,Teton,Wyoming,43444.0,68078.0,83558.0,21575.0,7583.0,0.059694641121656816
29,Bergen,New Jersey,43347.0,83794.0,102222.0,912795.0,335422.0,0.09473287137953802
30,Middlesex,Massachusetts,42861.0,82090.0,104032.0,1522533.0,581120.0,0.09297359240244815
31,Monmouth,New Jersey,42749.0,84526.0,105971.0,629735.0,233909.0,0.08221406118769412
32,Summit,Utah,42462.0,83336.0,95879.0,37232.0,13627.0,0.04007119788744943
33,Nassau,New York,42400.0,97690.0,112874.0,1343765.0,441955.0,0.09302024488618922
34,Mineral,Colorado,42255.0,47083.0,68438.0,761.0,393.0,0.02315906757439991
35,Chester,Pennsylvania,42210.0,86050.0,105278.0,503075.0,184788.0,0.08791035867305974
36,Ozaukee,Wisconsin,42041.0,75457.0,92262.0,86708.0,34108.0,0.03312421239533103
37,Clear Creek,Colorado,41716.0,67259.0,89583.0,9048.0,4024.0,0.04126778220218958
38,Santa Clara,California,41513.0,91702.0,103983.0,1812208.0,609377.0,0.09926682703624741
39,Montgomery,Pennsylvania,41472.0,79183.0,99587.0,804621.0,307488.0,0.07918039868746034
40,Williamson,Tennessee,41292.0,89779.0,104796.0,188935.0,66364.0,0.0808317105432584
41,San Miguel,Colorado,40827.0,63594.0,77708.0,7496.0,3234.0,0.0390118300553783
42,Anne Arundel,Maryland,40415.0,87430.0,101268.0,544426.0,199904.0,0.09250021553286082
43,Putnam,New York,40309.0,95117.0,109188.0,99718.0,34496.0,0.057144969235025794
44,Newport,Rhode Island,40293.0,71713.0,88962.0,82545.0,34774.0,0.03338776075135208
