rank,county,state,pc_income,pop,households
1,Wichita,Texas,"$22,837 ","131,500","49,016"
2,Trinity,California,"$22,905 ","13,638","5,668"
3,Buena Vista,Iowa,"$22,899 ","20,350","7,615"
4,Montrose,Colorado,"$22,897 ","41,020","16,586"
5,Bourbon,Kentucky,"$22,893 ","19,999","7,865"
6,Mille Lacs,Minnesota,"$22,891 ","25,927","10,312"
7,Phillips,Montana,"$22,890 ","4,205","1,800"
8,Monroe,Georgia,"$22,888 ","26,613","9,550"
9,Waushara,Wisconsin,"$22,888 ","24,483","9,902"
10,Nash,North Carolina,"$22,880 ","95,571","37,726"
11,Dolores,Colorado,"$22,880 ","1,709",780
12,Lincoln,Nevada,"$22,879 ","5,296","1,969"
13,Logan,Ohio,"$22,878 ","45,678","18,143"
14,Freestone,Texas,"$22,876 ","19,657","7,251"
15,Vermillion,Indiana,"$22,875 ","16,098","6,466"
16,Waynesboro City,Virginia,"$22,872 ","21,099","8,708"
17,Beaverhead,Montana,"$22,872 ","9,278","4,110"
18,Ravalli,Montana,"$22,872 ","40,423","16,848"
19,Montgomery,Iowa,"$22,868 ","10,625","4,553"
20,Scurry,Texas,"$22,860 ","17,014","5,846"
21,Bell,Texas,"$22,857 ","316,144","104,049"
22,Muscogee,Georgia,"$22,856 ","194,949","72,243"
23,Callahan,Texas,"$22,855 ","13,535","5,201"
24,Waldo,Maine,"$22,853 ","38,819","16,448"
25,LaPorte,Indiana,"$22,852 ","111,310","42,690"
26,Collingsworth,Texas,"$22,847 ","3,061","1,174"
27,Wasco,Oregon,"$22,844 ","25,281","9,612"
28,Burnett,Wisconsin,"$22,843 ","15,449","7,354"
29,Mercer,Pennsylvania,"$22,831 ","116,059","46,187"
30,DeKalb,Indiana,"$22,827 ","42,253","16,032"
31,Walton,Georgia,"$22,824 ","84,397","29,520"
32,Harper,Kansas,"$22,820 ","5,951","2,595"
33,Martin,Indiana,"$22,817 ","10,269","4,146"
34,Brooke,West Virginia,"$22,815 ","23,932","9,968"
35,Daggett,Utah,"$22,811 ",830,305
36,Sandusky,Ohio,"$22,799 ","60,619","23,906"
37,Logan,Nebraska,"$22,799 ",787,345
38,Teton,Montana,"$22,799 ","6,063","2,303"
39,Kittitas,Washington,"$22,796 ","41,291","16,538"
40,Van Wert,Ohio,"$22,790 ","28,685","11,442"
41,Ellsworth,Kansas,"$22,789 ","6,454","2,528"
